instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,missed
sf_bq195,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,1,6,77.6,
sf_bq256,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,0,8,83.9,
sf_bq080,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,85.1,
sf_bq342,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,81.6,
sf_bq341,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,3,76.3,
sf_bq444,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,112.8,
sf_bq340,CRYPTO,snowflake,1,19,39,1,1.000,0.053,1,1,4,78.9,
sf_bq005,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,5,76.2,
sf_bq334,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,0,8,79.5,
sf_bq335,CRYPTO,snowflake,2,20,39,2,1.000,0.100,1,0,9,157.4,
sf_bq057,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,3,80.2,
sf_bq068,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,1,76.6,
sf_bq092,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,0,13,83.4,
sf_bq093,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,0,13,77.9,
sf_bq292,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,79.5,
sf_bq135,CRYPTO,snowflake,2,20,39,2,1.000,0.100,1,1,2,72.9,
sf_bq136,CRYPTO,snowflake,2,20,39,2,1.000,0.100,1,1,3,83.9,
sf_bq065,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,1,76.6,
sf_bq037,HUMAN_GENOME_VARIANTS,snowflake,1,8,8,1,1.000,0.125,1,1,1,23.1,
sf_bq012,ETHEREUM_BLOCKCHAIN,snowflake,3,7,7,3,1.000,0.429,1,1,4,18.3,
sf_bq187,ETHEREUM_BLOCKCHAIN,snowflake,2,7,7,2,1.000,0.286,1,1,3,9.6,
sf_bq450,ETHEREUM_BLOCKCHAIN,snowflake,5,7,7,5,1.000,0.714,1,0,6,37.1,
bq034,ghcn_d,bigquery,1,5,5,1,1.000,0.200,1,1,1,7.2,
bq383,ghcn_d,bigquery,1,5,5,1,1.000,0.200,1,1,2,5.4,
bq051,new_york_ghcn,bigquery,3,10,14,3,1.000,0.300,1,0,10,42.3,
bq038,new_york,bigquery,1,9,9,1,1.000,0.111,1,1,2,24.1,
